============================================================ PARSE TREE ======================================================================
lexeme                 lineno                 tokenName              valueIfNumber          parentNodeSymbol            isLeafNode(yes/no)     nodeSymbol            
c4bbb                  9                      TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
;                      9                      TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
c6                     10                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   10                     TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
                       -1                     <arithmeticExpression> ----                   <assignmentStmt>            yes                    <arithmeticExpression>
;                      10                     TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <stmts>                     no                     <otherStmts>          
d4cbcd5677             11                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   11                     TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
(                      11                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
(                      11                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
c3                     11                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
+                      11                     TK_PLUS                ----                   <lowPrecedenceOperators>    yes                    TK_PLUS               
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
----                   11                     TK_NUM                 2                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
*                      11                     TK_MUL                 ----                   <highPrecedenceOperators>   yes                    TK_MUL                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
c4                     11                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
----                   --                     ----                   ----                   <termPrime>                 no                     <termPrime>           
-                      11                     TK_MINUS               ----                   <lowPrecedenceOperators>    yes                    TK_MINUS              
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
(                      11                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
c5                     11                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
-                      11                     TK_MINUS               ----                   <lowPrecedenceOperators>    yes                    TK_MINUS              
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
----                   11                     TK_NUM                 5                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
)                      11                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
)                      11                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
/                      11                     TK_DIV                 ----                   <highPrecedenceOperators>   yes                    TK_DIV                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   11                     TK_NUM                 4                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
----                   --                     ----                   ----                   <termPrime>                 no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
                       -1                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
;                      11                     TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
c4bbb                  12                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   12                     TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
(                      12                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
(                      12                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
d4cbcd5677             12                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
-                      12                     TK_MINUS               ----                   <lowPrecedenceOperators>    yes                    TK_MINUS              
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
----                   12                     TK_RNUM                2.35                   <var>                       yes                    TK_RNUM               
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
)                      12                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
*                      12                     TK_MUL                 ----                   <highPrecedenceOperators>   yes                    TK_MUL                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
(                      12                     TK_OP                  ----                   <factor>                    yes                    TK_OP                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
----                   12                     TK_NUM                 2345                   <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
-                      12                     TK_MINUS               ----                   <lowPrecedenceOperators>    yes                    TK_MINUS              
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
----                   12                     TK_NUM                 234                    <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
*                      12                     TK_MUL                 ----                   <highPrecedenceOperators>   yes                    TK_MUL                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   12                     TK_NUM                 8                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
----                   --                     ----                   ----                   <termPrime>                 no                     <termPrime>           
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
)                      12                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <termPrime>                 no                     <termPrime>           
----                   --                     ----                   ----                   <factor>                    no                     <arithmeticExpression>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
)                      12                     TK_CL                  ----                   <factor>                    yes                    TK_CL                 
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
+                      12                     TK_PLUS                ----                   <lowPrecedenceOperators>    yes                    TK_PLUS               
----                   --                     ----                   ----                   <expPrime>                  no                     <lowPrecedenceOperators>
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <expPrime>            
----                   12                     TK_NUM                 5                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <expPrime>                  no                     <term>                
*                      12                     TK_MUL                 ----                   <highPrecedenceOperators>   yes                    TK_MUL                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
c3                     12                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
----                   --                     ----                   ----                   <termPrime>                 no                     <termPrime>           
----                   --                     ----                   ----                   <expPrime>                  no                     <expPrime>            
;                      12                     TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
if                     13                     TK_IF                  ----                   <conditionalStmt>           yes                    TK_IF                 
----                   --                     ----                   ----                   <stmt>                      no                     <conditionalStmt>     
(                      13                     TK_OP                  ----                   <conditionalStmt>           yes                    TK_OP                 
(                      13                     TK_OP                  ----                   <booleanExpression>         yes                    TK_OP                 
----                   --                     ----                   ----                   <conditionalStmt>           no                     <booleanExpression>   
~                      13                     TK_NOT                 ----                   <booleanExpression>         yes                    TK_NOT                
----                   --                     ----                   ----                   <booleanExpression>         no                     <booleanExpression>   
(                      13                     TK_OP                  ----                   <booleanExpression>         yes                    TK_OP                 
c4bbb                  13                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
----                   --                     ----                   ----                   <booleanExpression>         no                     <booleanExpression>   
==                     13                     TK_EQ                  ----                   <relationalOp>              yes                    TK_EQ                 
----                   --                     ----                   ----                   <booleanExpression>         no                     <relationalOp>        
----                   13                     TK_NUM                 0                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
)                      13                     TK_CL                  ----                   <booleanExpression>         yes                    TK_CL                 
)                      13                     TK_CL                  ----                   <booleanExpression>         yes                    TK_CL                 
                       -1                     <logicalOp>            ----                   <booleanExpression>         yes                    <logicalOp>           
(                      13                     TK_OP                  ----                   <booleanExpression>         yes                    TK_OP                 
c4bbb                  13                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
----                   --                     ----                   ----                   <booleanExpression>         no                     <booleanExpression>   
>                      13                     TK_GT                  ----                   <relationalOp>              yes                    TK_GT                 
----                   --                     ----                   ----                   <booleanExpression>         no                     <relationalOp>        
----                   13                     TK_RNUM                78.56                  <var>                       yes                    TK_RNUM               
----                   --                     ----                   ----                   <booleanExpression>         no                     <var>                 
)                      13                     TK_CL                  ----                   <booleanExpression>         yes                    TK_CL                 
)                      13                     TK_CL                  ----                   <conditionalStmt>           yes                    TK_CL                 
then                   14                     TK_THEN                ----                   <conditionalStmt>           yes                    TK_THEN               
c6                     15                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
<---                   15                     TK_ASSIGNOP            ----                   <assignmentStmt>            yes                    TK_ASSIGNOP           
d4cbcd5677             15                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <term>                
/                      15                     TK_DIV                 ----                   <highPrecedenceOperators>   yes                    TK_DIV                
----                   --                     ----                   ----                   <termPrime>                 no                     <highPrecedenceOperators>
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
c4bbb                  15                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
                       -1                     <option_single_constructed> ----                   <singleOrRecId>             yes                    <option_single_constructed>
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <termPrime>                 no                     <factor>              
                       -1                     <termPrime>            ----                   <termPrime>                 yes                    <termPrime>           
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
                       -1                     <expPrime>             ----                   <arithmeticExpression>      yes                    <expPrime>            
                       -1                     TK_SEM                 ----                   <assignmentStmt>            yes                    TK_SEM                
----                   --                     ----                   ----                   <conditionalStmt>           no                     <stmt>                
----                   --                     ----                   ----                   <conditionalStmt>           no                     <otherStmts>          
else                   16                     TK_ELSE                ----                   <elsePart>                  yes                    TK_ELSE               
----                   --                     ----                   ----                   <conditionalStmt>           no                     <elsePart>            
write                  17                     TK_WRITE               ----                   <ioStmt>                    yes                    TK_WRITE              
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      17                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
c4bbb                  17                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      17                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      17                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <elsePart>                  no                     <stmt>                
----                   --                     ----                   ----                   <elsePart>                  no                     <otherStmts>          
endif                  18                     TK_ENDIF               ----                   <elsePart>                  yes                    TK_ENDIF              
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <otherStmts>                no                     <otherStmts>          
                       -1                     <otherStmts>           ----                   <otherStmts>                yes                    <otherStmts>          
end                    20                     <returnStmt>           ----                   <stmts>                     yes                    <returnStmt>          
                       -1                     ERROR                  ----                   TK_END                      yes                    ERROR                 
----                   --                     ----                   ----                   <function>                  no                     TK_END                
_main                  24                     TK_MAIN                ----                   epsilon                     yes                    TK_MAIN               
----                   --                     ----                   ----                   TK_END                      no                     epsilon               
----                   --                     ----                   ----                   <stmts>                     no                     <typeDefinitions>     
----                   --                     ----                   ----                   epsilon                     no                     <stmts>               
type                   25                     TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
int                    25                     TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
                       -1                     TK_COLON               ----                   <declaration>               yes                    TK_COLON              
b5                     25                     TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
;                      25                     TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <stmts>                     no                     <declarations>        
type                   26                     TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
int                    26                     TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      26                     TK_COLON               ----                   <declaration>               yes                    TK_COLON              
d5cb34567              26                     TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
;                      26                     TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
type                   27                     TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
int                    27                     TK_INT                 ----                   <primitiveDatatype>         yes                    TK_INT                
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      27                     TK_COLON               ----                   <declaration>               yes                    TK_COLON              
b3b444                 27                     TK_ID                  ----                   <declaration>               yes                    TK_ID                 
:                      27                     TK_COLON               ----                   <global_or_not>             yes                    TK_COLON              
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
global                 27                     TK_GLOBAL              ----                   <global_or_not>             yes                    TK_GLOBAL             
;                      27                     TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
type                   28                     TK_TYPE                ----                   <declaration>               yes                    TK_TYPE               
----                   --                     ----                   ----                   <declarations>              no                     <declaration>         
real                   28                     TK_REAL                ----                   <primitiveDatatype>         yes                    TK_REAL               
----                   --                     ----                   ----                   <dataType>                  no                     <primitiveDatatype>   
----                   --                     ----                   ----                   <declaration>               no                     <dataType>            
:                      28                     TK_COLON               ----                   <declaration>               yes                    TK_COLON              
c3                     28                     TK_ID                  ----                   <declaration>               yes                    TK_ID                 
----                   --                     ----                   ----                   <declaration>               no                     <global_or_not>       
;                      28                     TK_SEM                 ----                   <declaration>               yes                    TK_SEM                
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
----                   --                     ----                   ----                   <declarations>              no                     <declarations>        
b5                     29                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <assignmentStmt>            no                     <singleOrRecId>       
                       -1                     <option_single_constructed> ----                   <singleOrRecId>             yes                    <option_single_constructed>
----                   --                     ----                   ----                   <stmt>                      no                     <assignmentStmt>      
----                   29                     TK_NUM                 1                      <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <factor>                    no                     <var>                 
----                   --                     ----                   ----                   <term>                      no                     <factor>              
----                   --                     ----                   ----                   TK_ASSIGNOP                 no                     <term>                
                       -1                     ERROR                  ----                   <termPrime>                 yes                    ERROR                 
----                   --                     ----                   ----                   <term>                      no                     <termPrime>           
----                   --                     ----                   ----                   <termPrime>                 no                     epsilon               
----                   --                     ----                   ----                   <assignmentStmt>            no                     TK_ASSIGNOP           
;                      29                     <expPrime>             ----                   TK_ASSIGNOP                 yes                    <expPrime>            
read                   30                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      30                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
d5cb34567              30                     TK_ID                  ----                   <singleOrRecId>             yes                    TK_ID                 
----                   --                     ----                   ----                   <var>                       no                     <singleOrRecId>       
----                   --                     ----                   ----                   <singleOrRecId>             no                     <option_single_constructed>
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      30                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      30                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <stmt>                
----                   --                     ----                   ----                   <assignmentStmt>            no                     <arithmeticExpression>
read                   31                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
(                      31                     TK_OP                  ----                   <ioStmt>                    yes                    TK_OP                 
----                   31                     TK_NUM                 45                     <var>                       yes                    TK_NUM                
----                   --                     ----                   ----                   <ioStmt>                    no                     <var>                 
)                      31                     TK_CL                  ----                   <ioStmt>                    yes                    TK_CL                 
;                      31                     TK_SEM                 ----                   <ioStmt>                    yes                    TK_SEM                
----                   --                     ----                   ----                   <otherStmts>                no                     <stmt>                
----                   --                     ----                   ----                   <arithmeticExpression>      no                     <otherStmts>          
read                   32                     TK_READ                ----                   <ioStmt>                    yes                    TK_READ               
----                   --                     ----                   ----                   <stmt>                      no                     <ioStmt>              
